PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona_Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Badajoz;NO;NO;NO;Medio;NO DATA;No;NO;3;1472;4989;9;52
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;17;1381;7222;8;40
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;SI;NO;Otros;NO DATA;No;NO;6;1381;3102;8;43
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Vizcaya;NO;NO;NO;Medio-Bajo;SI;No;NO;5;1024;12656;3;53
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Otros;NO DATA;No;NO;3;4019;0;3;18
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;No;NO;6;2998;13508;6;48
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;14;3391;3525;3;44
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;SI;NO;Medio-Bajo;NO DATA;No;NO;17;1024;7941;5;58
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1;2267;15123;6;28
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Lacoruna;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;15;427;22442;8;54
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Almeria;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2;0;19211;5;57
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Alava;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;19;1546;13993;7;49
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1;618;4387;9;62
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Leon;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;19;412;8289;4;52
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Ciudad Real;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;11;927;4180;7;61
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Otros;NO DATA;Averia muy grave;SI;8;338;11974;8;61
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Navarra;NO;NO;NO;Medio;SI;Averia muy grave;SI;5;412;6902;9;42
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;9;0;6800;5;60
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Castellon;NO;NO;NO;Otros;NO DATA;No;NO;16;1957;0;8;25
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Leon;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;7;412;9396;8;32
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;10;942;7370;9;19
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Lerida;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;9;412;13441;4;55
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia muy grave;SI;10;0;5652;6;39
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio-Bajo;SI;No;NO;18;2257;15531;4;50
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Alava;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;17;464;9669;7;45
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio;SI;No;NO;14;515;12536;7;40
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;No;NO;6;515;11976;5;52
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Sevilla;NO;NO;NO;Alto;SI;Averia muy grave;SI;10;927;16606;5;40
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Autonomo;Alicante;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;4;927;4934;9;62
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;4;1786;8478;4;43
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;NO;NO;NO;Otros;SI;Averia muy grave;SI;17;573;18400;4;59
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;18;687;6665;4;29
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Medio;SI;No;SI;3;1381;10498;4;47
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Malaga;NO;NO;NO;Medio;SI;No;NO;4;687;15103;6;49
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;SOLTERO;F;Empresa;Navarra;NO;NO;NO;Medio;SI;No;NO;19;1381;15605;7;59
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Cadiz;NO;NO;NO;Medio-Bajo;SI;No;NO;16;1024;9479;7;56
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Las Palmas;NO;NO;NO;Otros;NO DATA;No;NO;10;2411;0;3;27
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;No;SI;18;4544;19849;6;44
A;TIPO1;FUEL 1;Baja;M;Otros;EN PAREJA;M;Empresa;Las Palmas;NO;NO;NO;Alto;NO DATA;No;NO;8;2267;7580;7;52
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Guipuzcua;NO;NO;NO;Medio;SI;No;NO;12;1642;9031;6;51
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Palencia;NO;NO;NO;Medio;NO DATA;No;NO;2;1030;8792;4;37
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;14;3084;10449;7;46
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Pontevedra;SI;SI;NO;Medio-Bajo;NO DATA;No;NO;6;2337;16009;6;58
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Guipuzcua;NO;NO;NO;Otros;SI;No;NO;9;3162;2033;3;51
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;5;1786;16126;4;51
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;OTROS;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;No;NO;3;1719;0;3;23
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Valencia;NO;NO;NO;Medio;SI;Averia muy grave;SI;11;0;10641;9;30
A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;Otro;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;14;412;6150;4;24
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;NO;NO;NO;Alto;SI;Averia muy grave;SI;3;1623;2963;9;61
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Castellon;NO;NO;NO;Otros;SI;Averia grave;NO;10;412;17400;4;50
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Cantabria;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;14;412;0;7;32
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;18;412;19463;8;58
A;TIPO1;FUEL 1;Baja;A;Contado;EN PAREJA;F;Funcionario;Las Palmas;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;10;1813;15289;2;19
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Otros;NO DATA;No;NO;8;1887;23859;2;40
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;No;NO;14;1008;5399;6;44
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Otros;NO DATA;No;NO;5;1887;0;5;19
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Malaga;NO;NO;NO;Otros;NO DATA;No;NO;7;2918;3709;4;46
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Las Palmas;NO;NO;NO;Otros;SI;No;NO;7;3759;15435;3;44
A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;F;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;6;3759;0;5;25
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;1;6216;17654;3;50
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;5;6216;7040;2;54
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;NO;Medio;NO DATA;No;NO;6;7515;0;3;31
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Las Palmas;NO;NO;NO;Otros;SI;No;SI;17;3526;15462;2;57
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;12;3786;3548;3;57
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;No;NO;8;4241;0;2;20
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Funcionario;Santa Cruz de Tenerife;SI;NO;NO;Otros;SI;Averia leve;NO;7;4241;18537;2;21
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Alicante;SI;NO;NO;Alto;SI;No;NO;3;5272;10112;2;40
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio;SI;No;NO;3;3972;9297;2;30
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Pontevedra;SI;NO;NO;Otros;SI;No;NO;14;6216;11885;2;62
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;NO;Otros;SI;No;NO;3;4241;6941;2;48
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;2;3526;17162;2;50
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;OTROS;F;Empresa;Las Palmas;SI;NO;NO;Medio;SI;No;NO;13;4241;9156;1;61
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Medio;SI;No;NO;4;4241;4171;2;47
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;16;1475;14630;2;39
H;TIPO7;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;10;1475;10513;1;49
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Otros;NO DATA;No;NO;11;1475;0;1;44
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2;2277;0;1;55
H;TIPO7;FUEL 1;Media;M;Otros;CASADO;F;Empresa;Navarra;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;10;1886;0;0;70
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;SI;1;2483;0;1;64
H;TIPO7;FUEL 1;Media;M;Otros;SOLTERO;F;Empresa;Huelva;NO;NO;NO;Alto;NO DATA;No;NO;19;1886;0;1;61
H;TIPO7;FUEL 1;Media;M;Otros;CASADO;F;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;Averia leve;NO;7;1886;0;2;22
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;Alto;NO DATA;No;NO;1;3140;0;1;44
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Sevilla;NO;NO;NO;Otros;NO DATA;No;NO;4;1886;0;1;61
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Zaragoza;NO;NO;NO;Alto;NO DATA;No;NO;12;1886;0;2;21
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Cantabria;NO;NO;SI;Otros;NO DATA;No;NO;6;2535;0;1;61
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Las Palmas;NO;NO;SI;Otros;NO DATA;No;NO;14;2331;0;0;40
H;TIPO7;FUEL 1;Media;M;Otros;CASADO;M;Funcionario;Guipuzcua;NO;NO;SI;Otros;NO DATA;Averia leve;NO;16;2213;0;1;34
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Gerona;NO;NO;SI;Otros;NO DATA;No;NO;12;2125;0;0;45
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Guipuzcua;SI;NO;SI;Otros;NO DATA;No;NO;12;1475;0;0;65
H;TIPO7;FUEL 1;Media;M;Contado;OTROS;M;Empresa;Las Palmas;SI;NO;NO;Medio;SI;No;NO;7;1681;20030;2;57
H;TIPO7;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Gerona;SI;NO;SI;Otros;NO DATA;No;NO;15;2125;0;0;30
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Barcelona;NO;NO;SI;Otros;NO DATA;No;NO;17;2125;0;1;33
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Santa Cruz de Tenerife;SI;NO;SI;Otros;NO DATA;No;NO;4;1681;0;1;63
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Alava;NO;NO;SI;Otros;NO DATA;No;NO;16;2125;0;0;62
H;TIPO7;FUEL 1;Media;M;Contado;EN PAREJA;M;Empresa;Castellon;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;11;3140;0;2;21
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Zaragoza;NO;NO;SI;Otros;NO DATA;No;NO;4;2125;0;1;54
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Las Palmas;NO;NO;NO;Otros;NO DATA;No;NO;6;1475;0;1;37
H;TIPO7;FUEL 1;Media;M;Contado;SOLTERO;F;Empresa;Madrid;NO;NO;NO;Otros;NO DATA;No;NO;5;2981;0;1;32
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Otros;NO DATA;No;NO;5;1475;0;1;50
H;TIPO7;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Barcelona;NO;NO;SI;Otros;NO DATA;No;NO;14;2125;0;0;68
H;TIPO7;FUEL 1;Media;M;Contado;EN PAREJA;F;Empresa;Gerona;NO;NO;NO;Otros;NO DATA;No;NO;4;1475;0;0;26
H;TIPO7;FUEL 1;Media;M;Contado;EN PAREJA;M;Empresa;Almeria;NO;NO;NO;Otros;NO DATA;No;NO;19;1475;0;1;58
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Vizcaya;NO;NO;SI;Otros;NO DATA;No;NO;10;2125;0;1;39
H;TIPO7;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Murcia;NO;NO;NO;Otros;NO DATA;No;NO;6;1475;0;0;44
H;TIPO7;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Cuenca;NO;NO;SI;Otros;NO DATA;No;NO;12;2125;0;1;69
H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Otros;NO DATA;No;NO;6;1475;0;0;71
H;TIPO7;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Lacoruna;NO;NO;SI;Otros;NO DATA;No;NO;18;2125;0;1;60
H;TIPO7;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Alicante;NO;NO;NO;Medio;NO DATA;No;NO;4;1475;0;1;22
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;SI;Medio-Bajo;NO DATA;Averia leve;NO;11;2125;0;2;32
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;F;Autonomo;Cordoba;SI;NO;NO;Medio-Bajo;SI;No;NO;2;4343;16264;1;60
H;TIPO7;FUEL 1;Media;A;Financiera Marca;EN PAREJA;M;Empresa;Vizcaya;NO;NO;SI;Medio-Bajo;NO DATA;No;SI;3;2125;0;0;23
H;TIPO7;FUEL 1;Media;A;Financiera Marca;OTROS;M;Empresa;Barcelona;NO;NO;SI;Alto;NO DATA;No;NO;16;2125;0;0;61
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Barcelona;NO;NO;SI;Alto;NO DATA;No;NO;19;2125;0;1;39
H;TIPO7;FUEL 1;Media;A;Contado;SOLTERO;F;Empresa;Barcelona;NO;NO;NO;Otros;NO DATA;No;NO;19;1475;0;1;62
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Madrid;NO;NO;SI;Otros;NO DATA;No;NO;11;3188;0;1;39
H;TIPO7;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Otros;NO DATA;No;NO;8;1475;0;1;56
H;TIPO7;FUEL 1;Media;A;Contado;SOLTERO;F;Empresa;Navarra;NO;NO;NO;Otros;NO DATA;No;NO;19;1475;0;2;69
H;TIPO7;FUEL 1;Media;A;Contado;CASADO;F;Empresa;Las Palmas;NO;NO;NO;Otros;NO DATA;No;NO;5;1475;0;1;48
H;TIPO7;FUEL 1;Media;A;Contado;CASADO;F;Empresa;Navarra;NO;NO;NO;Otros;NO DATA;Averia leve;NO;1;1475;0;0;36
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Cadiz;SI;NO;SI;Otros;NO DATA;No;NO;6;1475;0;1;21
H;TIPO7;FUEL 1;Media;A;Otros;CASADO;F;Empresa;Las Palmas;NO;NO;NO;Otros;NO DATA;No;NO;4;1681;0;1;67
H;TIPO7;FUEL 1;Media;A;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;Otros;NO DATA;No;NO;6;1475;0;0;32
H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;SI;Averia muy grave;SI;6;1533;6827;1;47
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;14;1533;10427;2;50
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Cantabria;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;13;2335;0;0;62
H;TIPO7;FUEL 2;Media;M;Contado;SOLTERO;M;Empresa;Cadiz;SI;NO;NO;Otros;NO DATA;No;NO;12;1533;0;2;31
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;4;2335;13485;1;57
H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;7;3227;0;0;31
H;TIPO7;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;1;4430;0;2;26
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;13;3227;0;1;63
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Funcionario;Alicante;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;5;1533;0;2;51
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Otros;NO DATA;No;NO;8;1960;0;0;40
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;SI;Otros;NO DATA;No;NO;13;1533;0;0;66
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;F;Empresa;Murcia;NO;NO;NO;Otros;NO DATA;No;NO;19;1533;0;1;62
H;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Otros;NO DATA;No;NO;12;1533;0;1;51
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;Otros;NO DATA;No;NO;3;2183;0;0;51
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;SI;Otros;NO DATA;No;NO;10;2183;0;1;45
H;TIPO7;FUEL 2;Media;M;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;Otros;NO DATA;No;NO;13;1533;0;0;71
H;TIPO7;FUEL 1;Media;A;Contado;OTROS;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;No;NO;6;1475;0;1;56
H;TIPO7;FUEL 1;Media;A;Contado;CASADO;F;Empresa;Gerona;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;17;1475;0;1;65
H;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;SI;Otros;NO DATA;No;NO;3;1475;0;1;55
H;TIPO7;FUEL 2;Media;A;Financiera Marca;CASADO;M;Empresa;Barcelona;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;4;2125;0;0;60
H;TIPO7;FUEL 2;Media;A;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;Medio;NO DATA;No;NO;4;1475;0;2;49
J;TIPO7;FUEL 1;Alta;M;Contado;EN PAREJA;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;18;309;9950;7;38
J;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;4;248;19509;7;44
J;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Autonomo;Valencia;SI;NO;NO;Otros;NO DATA;No;NO;1;248;17958;5;62
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;NO;SI;NO;Alto;NO DATA;Averia leve;SI;13;820;20549;4;59
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Pontevedra;SI;SI;NO;Otros;NO DATA;Averia muy grave;SI;15;1641;13962;6;39
J;TIPO7;FUEL 2;Alta;M;Contado;OTROS;Otro;Empresa;Lacoruna;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;9;1230;38061;6;48
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;Otros;NO DATA;Averia grave;NO;7;0;0;8;45
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia muy grave;SI;1;0;12239;4;49
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Lacoruna;NO;SI;NO;Otros;NO DATA;Averia muy grave;SI;2;820;19561;3;56
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Alicante;SI;SI;NO;Medio-Bajo;NO DATA;Averia grave;SI;12;820;10574;7;44
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;Averia leve;NO;8;820;14800;7;39
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;Otros;NO DATA;Averia leve;NO;7;0;24841;4;56
J;TIPO7;FUEL 2;Alta;M;Otros;CASADO;M;Empresa;Pontevedra;SI;SI;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9;1546;12293;7;39
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Lugo;SI;SI;NO;Medio-Bajo;NO DATA;Averia grave;SI;19;1546;13425;7;57
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Granada;NO;NO;NO;Otros;NO DATA;Averia muy grave;SI;4;1546;8933;4;50
J;TIPO7;FUEL 2;Alta;M;Otros;OTROS;Otro;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;Averia muy grave;SI;19;0;7923;7;44
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Alto;NO DATA;Averia grave;NO;4;0;18567;5;41
J;TIPO7;FUEL 2;Alta;M;Otros;CASADO;M;Empresa;Sevilla;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;6;820;21016;4;46
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Cordoba;NO;NO;NO;Medio;SI;Averia grave;NO;19;0;33928;7;39
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;3;0;16483;7;55
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Autonomo;Valencia;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;6;927;9924;7;45
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Alicante;NO;NO;NO;Medio;NO DATA;Averia leve;SI;4;0;23576;7;62
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Malaga;NO;NO;NO;Medio;NO DATA;Averia grave;SI;9;831;16406;3;44
J;TIPO7;FUEL 2;Alta;M;Contado;OTROS;Otro;Empresa;Gerona;NO;SI;NO;Alto;NO DATA;Averia muy grave;SI;12;0;19373;7;38
J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Segovia;NO;NO;NO;Otros;NO DATA;Averia muy grave;SI;18;0;12685;5;58
